year,scope,THC,H,N,N_eff,N_hh,N_eff_count,G
2016,South America,,1.813103,6.1294,6.0,4.576,,0.218529
2016,Africa,,3.148199,23.2941,11.0,12.8385,,0.077891
2016,Oceania,,0.761701,2.1419,2.0,1.5487,,0.645711
2017,Global,0.0446,3.80531,44.93921,22.42189,22.4215,17.0,
2017,Europe,,2.810277,16.6145,13.0,11.0397,,0.090582
2017,Asia,,2.94838,19.075,14.0,10.7976,,0.092613
2017,North America,,1.026079,2.7901,3.0,1.8112,,0.552117
2017,South America,,1.826623,6.2129,6.0,4.631,,0.215937
2017,Africa,,3.191218,24.318,11.0,13.3758,,0.074762
2017,Oceania,,0.755396,2.1285,2.0,1.5346,,0.651628
2018,Global,0.04277,3.82941,46.03533,23.37912,23.3809,17.0,
2018,Europe,,2.835776,17.0436,13.0,11.4737,,0.087156
2018,Asia,,2.932841,18.7809,14.0,10.2392,,0.097664
2018,North America,,1.049781,2.857,3.0,1.8437,,0.542402
2018,South America,,1.823119,6.1911,5.0,4.5928,,0.21773
2018,Africa,,3.244803,25.6567,11.0,14.6268,,0.068368
2018,Oceania,,0.791724,2.2072,2.0,1.5596,,0.64119
2019,Global,0.04265,3.82895,46.01411,23.44548,23.4467,17.0,
2019,Europe,,2.852902,17.338,13.0,11.8138,,0.084647
2019,Asia,,2.938778,18.8928,15.0,10.349,,0.096628
2019,North America,,1.004067,2.7294,3.0,1.7973,,0.556387
2019,South America,,1.835894,6.2707,6.0,4.7043,,0.212571
2019,Africa,,3.245129,25.665,12.0,14.944,,0.066916
2019,Oceania,,0.788527,2.2002,2.0,1.5426,,0.648265
2020,Global,0.03844,3.8785,48.35144,26.01169,26.0146,18.0,
2020,Europe,,2.887445,17.9474,14.0,12.5194,,0.079876
2020,Asia,,2.919172,18.5259,13.0,9.9941,,0.100059
2020,North America,,1.084072,2.9567,3.0,1.9031,,0.525466
2020,South America,,1.900828,6.6914,6.0,5.2093,,0.191964
2020,Africa,,3.30396,27.2202,14.0,16.46,,0.060753
2020,Oceania,,0.814893,2.2589,2.0,1.5651,,0.638931
2021,Global,0.04247,3.82504,45.83482,23.54395,23.546,17.0,
2021,Europe,,2.873183,17.6933,15.0,12.3976,,0.080661
2021,Asia,,2.867602,17.5948,13.0,9.1975,,0.108726
2021,North America,,1.028371,2.7965,3.0,1.8449,,0.542024
2021,South America,,1.907795,6.7382,6.0,5.3097,,0.188335
2021,Africa,,3.315548,27.5375,14.0,16.8898,,0.059207
2021,Oceania,,0.923019,2.5169,2.0,1.6029,,0.623883
2022,Global,0.04559,3.78883,44.20461,21.935,21.9346,17.0,
2022,Europe,,2.843367,17.1735,14.0,11.8801,,0.084174
2022,Asia,,2.912388,18.4007,15.0,10.3485,,0.096633
2022,North America,,0.96749,2.6313,3.0,1.7246,,0.579852
2022,South America,,1.919442,6.8172,6.0,5.4944,,0.182003
2022,Africa,,3.34194,28.2739,13.0,17.2855,,0.057852
2022,Oceania,,0.786381,2.1954,2.0,1.4956,,0.668619
2023,Global,0.04608,3.77663,43.66854,21.70026,21.7014,17.0,
2023,Europe,,2.831378,16.9688,13.0,11.6927,,0.085524
2023,Asia,,2.934993,18.8214,14.0,10.542,,0.094858
2023,North America,,0.961292,2.6151,3.0,1.7201,,0.58137
2023,South America,,1.914039,6.7804,6.0,5.2622,,0.190035
2023,Africa,,3.303104,27.1969,13.0,15.9478,,0.062705
2023,Oceania,,0.768779,2.1571,2.0,1.535,,0.651466
2024,Global,0.04498,3.78831,44.18171,22.23094,22.2321,16.0,
2024,Europe,,2.863733,17.5268,14.0,12.4089,,0.080587
2024,Asia,,2.925838,18.6499,12.0,10.5985,,0.094353
2024,North America,,0.963217,2.6201,3.0,1.7178,,0.58214
2024,South America,,1.882715,6.5713,6.0,4.9183,,0.203323
2024,Africa,,3.255785,25.94,13.0,14.7631,,0.067737
2024,Oceania,,0.714788,2.0438,2.0,1.465,,0.682577
2025,Global,0.04388,3.78145,43.87981,22.78946,22.7894,19.0,
2025,Europe,,2.85788,17.4246,14.0,12.3794,,0.080779
2025,Asia,,2.851126,17.3073,12.0,10.2958,,0.097127
2025,North America,,0.949772,2.5851,3.0,1.7452,,0.573
2025,South America,,1.892753,6.6376,6.0,4.9547,,0.20183
2025,Africa,,3.144382,23.2053,12.0,11.796,,0.084775
2025,Oceania,,0.671362,1.9569,2.0,1.4393,,0.694806
