time_window,from_country,to_country,weight,degree,strength,p,alpha,significant
1996-2000,ES,DE,127,107,3266,0.0388854868340477,0.0149335940604523,1
1996-2000,FR,DE,187,107,3266,0.0572565829761175,0.0019306871286375,1
1996-2000,GB,DE,282,107,3266,0.0863441518677281,6.965618267459756e-05,1
1996-2000,IT,DE,150,107,3266,0.0459277403551745,0.0068487998035778,1
1996-2000,RU,DE,97,107,3266,0.0296999387630128,0.0409300459026897,1
1996-2000,US,DE,564,107,3266,0.1726883037354562,1.87469842382261e-09,1
1996-2000,DE,DK,41,66,475,0.0863157894736842,0.002829748202335,1
1996-2000,FR,DK,25,66,475,0.0526315789473684,0.0297665683534785,1
1996-2000,GB,DK,49,66,475,0.1031578947368421,0.0008443826792094,1
1996-2000,SE,DK,31,66,475,0.0652631578947368,0.0124396577493827,1
1996-2000,US,DK,76,66,475,0.16,1.197163849371754e-05,1
1996-2000,CU,DO,6,12,22,0.2727272727272727,0.0301071967144018,1
1996-2000,FR,DZ,21,13,37,0.5675675675675675,4.275816935334588e-05,1
1996-2000,CO,EC,16,31,135,0.1185185185185185,0.0227193439767913,1
